"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",13.448567435,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.876690892,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2018",3.4087569791,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2018",18.518518519,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.127413864,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2018",4.8632060095,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2018",18.855203722,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2018",11.823802164,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2018",15.444390481,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2018",5.9090909091,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2018",5.0632142857,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2018",12.901247189,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2018",8.2840236686,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2018",5.7080610022,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2018",23.537368955,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.107310951,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2018",12.657091562,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2018",7.8696925329,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2018",5.1293690422,
"POL","WAGEGAP","EMPLOYEE","PC","A","2018",11.497909952,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2018",11.665004985,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2018",15.662080133,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2018",8.6216072379,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2018",7.1428571429,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2018",15.095647352,
"TUR","WAGEGAP","EMPLOYEE","PC","A","2018",9.980806142,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2018",16.310424203,
"USA","WAGEGAP","EMPLOYEE","PC","A","2018",18.910585817,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2018",3.0303030303,
"COL","WAGEGAP","EMPLOYEE","PC","A","2018",5.7879259259,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2018",4.7252747253,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2018",7.9150579151,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2018",15.871047737,
"EST","WAGEGAP","EMPLOYEE","PC","A","2018",22.68115942,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2018",22.659192432,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2018",20.289855072,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2018",11.689814815,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2018",11.09375,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2018",3.4965034965,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2018",8.1945369753,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2018",12.7967891857429,
"EU27","WAGEGAP","EMPLOYEE","PC","A","2018",10.8027859019692,
"ARG","WAGEGAP","EMPLOYEE","PC","A","2018",11.111111111,
"BRA","WAGEGAP","EMPLOYEE","PC","A","2018",10.666666667,
